20
3f800000,00000001,0,3f800000
3f800000,00000001,1,3f800000
40000000,00000001,0,40000000
3f000000,00000001,0,3f000000
3f800000,bf7fffff,0,33800000
3f800000,bf800001,0,b4000000
00800000,807fffff,0,00000001
3eaaaaab,beaaaaaa,0,33000000
00800000,00000001,1,007fffff
00800000,807fffff,0,00000001
007fffff,00000001,0,00800000
007fffff,807ffffe,0,00000001
3f7fffff,34000000,0,3f800000
3f7fffff,33800000,0,3f800000
3f800000,34000000,1,3f7ffffe
3f000000,34000000,0,3f000002
3f800000,3f800000,0,40000000
3f800001,3f800001,0,40000001
3f7fffff,3f7fffff,0,3fffffff
41200000,3eaaaaab,1,411aaaab
