26
7fc00000,3f800000,0,7fc00000
3f800000,ffc00000,1,7fc00000
ffa00000,7f800000,0,7fc00000
7f800000,ff800000,0,7fc00000
ff800000,ff800000,1,7fc00000
ff800000,00000000,0,ff800000
7f800000,00000001,1,7f800000
ff7fffff,ff7fffff,0,ff800000
7f7fffff,73000000,0,7f800000
7f7fffff,72ffffff,0,7f7fffff
40000000,40000000,1,00000000
80000000,80000000,0,80000000
00000001,00000001,0,00000002
007fffff,00000001,0,00800000
00000001,80800000,0,807fffff
00800001,00800000,1,00000001
3f800000,3f800000,0,40000000
bf800000,bf800000,0,c0000000
3f800000,40000000,1,bf800000
3f800000,0da24260,0,3f800000
40000000,3fffffff,1,34000000
3f800000,3f800001,1,b4000000
3f7fffff,34000000,0,3f800000
3f800000,33800000,0,3f800000
3f800000,33c00000,0,3f800001
3f800000,33800001,0,3f800001
