20
3f800000,3f800000,0,40000000
3f800000,bf800000,0,00000000
3f800000,0da24260,0,3f800000
0da24260,3f800000,1,bf800000
8da24260,0da24260,0,00000000
00800000,00800000,0,01000000
00800000,80800000,0,00000000
00000001,00800000,0,00800001
00000001,80800000,0,807fffff
7f7fc99e,ff7843b0,0,7cf0bdc0
7f7fc99e,7f7843b0,1,7cf0bdc0
ff7fc99e,7f7843b0,0,fcf0bdc0
60ad78ec,3f800000,0,60ad78ec
60ad78ec,bf800000,1,60ad78ec
e0ad78ec,3f800000,0,e0ad78ec
2edbe6ff,2edbe6ff,0,2f5be6ff
2edbe6ff,aedbe6ff,0,00000000
40b00000,c0accccd,0,3dccccc0
c0b00000,40accccd,1,c12e6666
40000000,3fffffff,1,34000000
